county_name,state_name,country_name
Baldwin County,Alabama,USA
Barbour County,Alabama,USA
Bibb County,Alabama,USA
Blount County,Alabama,USA
Bullock County,Alabama,USA
Butler County,Alabama,USA
Calhoun County,Alabama,USA
Chambers County,Alabama,USA
Cherokee County,Alabama,USA
Chilton County,Alabama,USA
Clarke County,Alabama,USA
Cleburne County,Alabama,USA
Coffee County,Alabama,USA
Colbert County,Alabama,USA
Conecuh County,Alabama,USA
Covington County,Alabama,USA
Crenshaw County,Alabama,USA
Cullman County,Alabama,USA
Dale County,Alabama,USA
Dallas County,Alabama,USA
DeKalb County,Alabama,USA
Escambia County,Alabama,USA
Etowah County,Alabama,USA
Fayette County,Alabama,USA
Franklin County,Alabama,USA
Geneva County,Alabama,USA
Greene County,Alabama,USA
Hale County,Alabama,USA
Henry County,Alabama,USA
Jackson County,Alabama,USA
Jefferson County,Alabama,USA
Lamar County,Alabama,USA
Lauderdale County,Alabama,USA
Lawrence County,Alabama,USA
Lee County,Alabama,USA
Limestone County,Alabama,USA
Madison County,Alabama,USA
Marengo County,Alabama,USA
Marion County,Alabama,USA
Marshall County,Alabama,USA
Mobile County,Alabama,USA
Montgomery County,Alabama,USA
Morgan County,Alabama,USA
Pike County,Alabama,USA
Randolph County,Alabama,USA
Russell County,Alabama,USA
Shelby County,Alabama,USA
Sumter County,Alabama,USA
Talladega County,Alabama,USA
Tallapoosa County,Alabama,USA
Tuscaloosa County,Alabama,USA
Winston County,Alabama,USA
Northwest Arctic Borough,Alaska,USA
Southeast Fairbanks Census Area,Alaska,USA
Apache County,Arizona,USA
Cochise County,Arizona,USA
Coconino County,Arizona,USA
Gila County,Arizona,USA
Graham County,Arizona,USA
Greenlee County,Arizona,USA
La Paz County,Arizona,USA
Maricopa County,Arizona,USA
Mohave County,Arizona,USA
Navajo County,Arizona,USA
Pima County,Arizona,USA
Pinal County,Arizona,USA
Santa Cruz County,Arizona,USA
Yavapai County,Arizona,USA
Yuma County,Arizona,USA
Arkansas County,Arkansas,USA
Ashley County,Arkansas,USA
Baxter County,Arkansas,USA
Benton County,Arkansas,USA
Boone County,Arkansas,USA
Chicot County,Arkansas,USA
Clark County,Arkansas,USA
Clay County,Arkansas,USA
Columbia County,Arkansas,USA
Conway County,Arkansas,USA
Craighead County,Arkansas,USA
Crawford County,Arkansas,USA
Crittenden County,Arkansas,USA
Desha County,Arkansas,USA
Drew County,Arkansas,USA
Faulkner County,Arkansas,USA
Fulton County,Arkansas,USA
Garland County,Arkansas,USA
Grant County,Arkansas,USA
Hempstead County,Arkansas,USA
Hot Spring County,Arkansas,USA
Howard County,Arkansas,USA
Independence County,Arkansas,USA
Izard County,Arkansas,USA
Johnson County,Arkansas,USA
Lafayette County,Arkansas,USA
Lincoln County,Arkansas,USA
Little River County,Arkansas,USA
